file_id,neighborhood,date,count,type,x,y
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,1,1,6279647.127261684,1842869.7525059492
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,1,1,6279725.171000665,1842757.323157346
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,1,1,6279971.59683493,1842496.288718826
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,1,1,6279838.412635334,1841983.1576513804
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,1,1,6278453.510176061,1841543.8747771897
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,1,3,6280039.595352942,1842663.794870616
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,5,2,6279989.307161605,1842806.5852439974
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,1,2,6279861.24946326,1842481.701352018
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,2,2,6279997.842073592,1842287.494199874
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,3,1,6279997.6985605275,1841641.2411801973
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,13,1,6279863.211833484,1841545.384420347
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,5,1,6279037.807740966,1841784.5356532333
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,4,1,6279050.73006683,1841336.658220623
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,1,1,6279822.49006836,1841707.5371510528
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,1,1,6279012.965650795,1842637.7504627458
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,1,1,6278861.957247524,1841532.9761968306
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,1,1,6279894.987204218,1842865.4666822387
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,2,2,6280001.083180751,1842806.8124643352
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,2,1,6280000.490893821,1842733.422279149
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,1,2,6279889.094402116,1842624.3641875624
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,1,2,6279817.739533909,1841607.9728706642
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,1,2,6279119.357770793,1842615.7913374356
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,1,2,6278759.258006745,1841523.4457004115
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,1,2,6279991.920561521,1842649.6211522357
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,16,1,6279908.133256959,1841559.949705815
