image_url,x,y,width,height,intersection
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201508-006.png,1337,171,63,41,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201508-006.png,862,1617,72,46,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201508-006.png,1320,1624,63,48,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201509-007.png,852,75,68,52,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201509-007.png,1336,80,63,47,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201509-007.png,847,1613,63,38,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201509-007.png,1333,1610,56,42,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201510-006.png,866,140,60,46,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201510-006.png,1330,147,56,39,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201510-006.png,859,1622,68,41,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201510-006.png,1332,1617,63,43,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201511-006.png,852,164,63,48,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201511-006.png,1318,159,58,51,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201511-006.png,847,1639,63,46,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201511-006.png,1315,1648,53,43,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201512-005.png,856,137,65,43,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201512-005.png,1319,140,60,51,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201512-005.png,825,1599,63,51,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201512-005.png,1300,1606,55,48,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201509-004.png,248,848,29,58,Ketner_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201509-004.png,573,851,25,61,State_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201509-004.png,575,244,31,31,State_A
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201509-004.png,251,240,22,34,Ketner_A
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201601-003.png,572,964,19,30,Ketner_Market
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201601-003.png,576,856,19,30,Ketner_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201601-003.png,1542,854,22,30,3rd_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201601-003.png,1540,1282,26,32,3rd_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201602-002.png,377,689,21,21,Ketner_Market
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201602-002.png,379,601,23,21,Ketner_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201602-002.png,1167,607,20,20,3rd_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201602-002.png,1164,958,20,27,3rd_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201603-003.png,540,938,26,24,Ketner_Market
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201603-003.png,542,817,26,26,Ketner_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201603-003.png,1596,830,26,30,3rd_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201603-003.png,1594,1295,28,34,3rd_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201604-003.png,413,663,16,20,Ketner_Market
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201604-003.png,413,576,15,20,Ketner_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201604-003.png,1168,580,19,24,3rd_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201604-003.png,1169,920,16,26,3rd_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201605-003.png,557,948,32,39,Ketner_Market
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201605-003.png,563,834,22,30,Ketner_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201605-003.png,1609,845,30,32,3rd_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201605-003.png,1604,1310,32,34,3rd_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201606-003.png,553,929,24,30,Ketner_Market
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201606-003.png,553,806,22,30,Ketner_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201606-003.png,1643,802,34,32,3rd_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201606-003.png,1643,1293,26,32,3rd_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201607-003.png,544,948,24,30,Ketner_Market
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201607-003.png,540,822,24,28,Ketner_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201607-003.png,1632,821,22,32,3rd_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201607-003.png,1632,1310,28,41,3rd_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201608-003.png,518,957,28,34,Ketner_Market
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201608-003.png,523,837,24,34,Ketner_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201608-003.png,1613,834,24,34,3rd_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201608-003.png,1611,1331,24,32,3rd_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201609-003.png,540,948,22,30,Ketner_Market
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201609-003.png,535,821,28,32,Ketner_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201609-003.png,1628,802,28,34,3rd_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201609-003.png,1639,1292,26,32,3rd_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201610-003.png,527,961,26,32,Ketner_Market
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201610-003.png,525,837,28,30,Ketner_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201610-003.png,1615,836,30,30,3rd_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201610-003.png,1617,1325,30,36,3rd_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201611-003.png,546,950,22,30,Ketner_Market
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201611-003.png,546,821,24,28,Ketner_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201611-003.png,1634,815,24,30,3rd_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201611-003.png,1636,1307,26,32,3rd_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201612-003.png,538,946,24,32,Ketner_Market
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201612-003.png,536,824,24,26,Ketner_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201612-003.png,1626,817,26,36,3rd_G
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201612-003.png,1630,1307,24,37,3rd_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/core/201402-003.png,616,579,27,47,Front_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/core/201402-003.png,620,287,21,30,Front_B
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/core/201402-003.png,1491,290,23,30,11th_B
