,neighborhood,date,type,x,y
17308,east_village,2017-11-29,Individual,6284804.242712261,1841298.2474962026
17309,east_village,2017-11-29,Individual,6284804.370236545,1841295.019885327
17310,east_village,2017-11-29,Individual,6284809.400725157,1841296.7178896856
17311,east_village,2017-11-29,Individual,6284812.494068342,1841297.673183992
17312,east_village,2017-11-29,Individual,6284804.998427639,1841295.751541726
17313,east_village,2017-11-29,Structure,6284938.005255772,1841253.7036351012
17314,east_village,2017-11-29,Structure,6284939.734623212,1841261.6012541768
17315,east_village,2017-11-29,Structure,6284932.79369774,1841255.822656227
17316,east_village,2017-11-29,Structure,6284786.9884695755,1841197.039772846
17317,east_village,2017-11-29,Individual,6284929.9582056645,1841131.6274513518
17318,east_village,2017-11-29,Individual,6284849.913272394,1840932.0445350439
17319,east_village,2017-11-29,Individual,6284916.070486565,1840876.8147124446
17320,east_village,2017-11-29,Individual,6284917.416309394,1840878.1017264337
17321,east_village,2017-11-29,Individual,6284914.364616233,1840876.7004513994
17322,east_village,2017-11-29,Individual,6284915.767565949,1840878.7841680914
17323,east_village,2017-11-29,Individual,6284912.9663768625,1840875.375815546
17324,east_village,2017-11-29,Individual,6284913.308913651,1840876.5903852805
17325,east_village,2017-11-29,Individual,6284915.808761386,1840876.4067070605
17326,east_village,2017-11-29,Individual,6284916.170158216,1840881.3983520437
17327,east_village,2017-11-29,Structure,6284915.564989499,1840750.1893319865
17328,east_village,2017-11-29,Structure,6284921.808715441,1840754.568298787
17329,east_village,2017-11-29,Structure,6284919.601299003,1840751.4640264949
17330,east_village,2017-11-29,Structure,6284922.932616768,1840746.9034248795
17331,east_village,2017-11-29,Structure,6284859.952159415,1840556.8368747055
17332,east_village,2017-11-29,Individual,6284804.862055701,1840341.2708060385
17333,east_village,2017-11-29,Structure,6284869.15211078,1840325.8688901314
17334,east_village,2017-11-29,Structure,6285349.862586046,1840575.2460878207
17335,east_village,2017-11-29,Structure,6285347.940787798,1840579.3709258013
17336,east_village,2017-11-29,Structure,6285341.8614955805,1840359.8883670466
17337,east_village,2017-11-29,Individual,6285368.847173796,1840163.0468703804
17338,east_village,2017-11-29,Individual,6285342.196805943,1840043.9455263452
17339,east_village,2017-11-29,Individual,6285345.59361893,1840044.2785897048
17340,east_village,2017-11-29,Individual,6284792.614681496,1840103.7149718746
17341,east_village,2017-11-29,Individual,6284793.45344853,1840106.136367759
17342,east_village,2017-11-29,Structure,6284780.663729521,1839971.212880829
17343,east_village,2017-12-27,Individual,6282102.308951454,1840941.3068729604
17344,east_village,2017-12-27,Individual,6282081.485325374,1840792.706594423
17345,east_village,2017-12-27,Individual,6282084.543643091,1840792.9436635268
17346,east_village,2017-12-27,Structure,6282339.968749534,1840873.4150961125
17347,east_village,2017-12-27,Structure,6282490.655723613,1840881.5095347036
17348,east_village,2017-12-27,Structure,6282492.3630132135,1840877.1792983653
17349,east_village,2017-12-27,Structure,6282490.0243239505,1840871.8835400012
17350,east_village,2017-12-27,Structure,6282489.495293016,1840881.778548059
17351,east_village,2017-12-27,Structure,6282484.064479151,1840879.1520994501
17352,east_village,2017-12-27,Individual,6282338.55076767,1840782.6823213017
17353,east_village,2017-12-27,Individual,6282340.506402153,1840779.341845902
17354,east_village,2017-12-27,Individual,6282332.759622965,1840776.5841967461
17355,east_village,2017-12-27,Individual,6282345.573422037,1840776.30245949
17356,east_village,2017-12-27,Individual,6282336.354886683,1840778.4574811417
17357,east_village,2017-12-27,Individual,6282343.1110019665,1840782.5117847668
17358,east_village,2017-12-27,Individual,6282480.988499436,1840758.6757742276
17359,east_village,2017-12-27,Individual,6282479.86868643,1840757.938958969
17360,east_village,2017-12-27,Individual,6282472.012785205,1840751.2463836356
17361,east_village,2017-12-27,Individual,6282477.4181114435,1840757.8058551552
17362,east_village,2017-12-27,Individual,6282472.178362064,1840754.4587384965
17363,east_village,2017-12-27,Individual,6282469.74032314,1840759.8557050682
17364,east_village,2017-12-27,Individual,6282483.569643755,1840760.0776952764
17365,east_village,2017-12-27,Structure,6282434.567297604,1840715.8371261267
17366,east_village,2017-12-27,Structure,6282435.485698021,1840716.0377077665
17367,east_village,2017-12-27,Structure,6282431.314777348,1840715.9097152255
17368,east_village,2017-12-27,Individual,6282360.466550347,1840702.7898594677
17369,east_village,2017-12-27,Individual,6282362.839586069,1840700.9842713655
17370,east_village,2017-12-27,Individual,6282700.22689883,1840953.3466551544
17371,east_village,2017-12-27,Individual,6282699.47974214,1840959.4364563834
17372,east_village,2017-12-27,Individual,6282696.953354161,1840959.027683954
17373,east_village,2017-12-27,Structure,6282623.348411421,1840878.5756919377
17374,east_village,2017-12-27,Structure,6282623.4768173285,1840879.0553991562
17375,east_village,2017-12-27,Structure,6282631.462076959,1840881.5840955526
17376,east_village,2017-12-27,Structure,6282623.858395048,1840880.19807036
17377,east_village,2017-12-27,Structure,6282624.103316423,1840879.4907641734
17378,east_village,2017-12-27,Structure,6282627.376539398,1840876.9412162495
17379,east_village,2017-12-27,Structure,6282626.279589635,1840877.8896799264
17380,east_village,2017-12-27,Structure,6282623.990633033,1840876.4675164577
17381,east_village,2017-12-27,Structure,6282623.760653622,1840877.4997205627
17382,east_village,2017-12-27,Structure,6282759.864999214,1840900.633274928
17383,east_village,2017-12-27,Structure,6282756.070008061,1840891.9123465563
17384,east_village,2017-12-27,Structure,6282766.156789325,1840899.9817037513
17385,east_village,2017-12-27,Structure,6282763.844213878,1840895.7669785756
17386,east_village,2017-12-27,Structure,6282759.481252712,1840892.1192460586
17387,east_village,2017-12-27,Individual,6282624.580319508,1840770.2215364547
17388,east_village,2017-12-27,Individual,6282625.964907834,1840767.8006029683
17389,east_village,2017-12-27,Individual,6282620.626877171,1840766.177343204
17390,east_village,2017-12-27,Individual,6282618.926115433,1840770.4867981516
17391,east_village,2017-12-27,Individual,6282625.307227199,1840769.8047222705
17392,east_village,2017-12-27,Individual,6282623.762811945,1840771.409302214
17393,east_village,2017-12-27,Individual,6282622.373317081,1840766.4385705122
17394,east_village,2017-12-27,Individual,6282625.488360295,1840773.1790958412
17395,east_village,2017-12-27,Individual,6282621.8155226745,1840765.203302297
17396,east_village,2017-12-27,Individual,6282767.798834251,1840788.0556033575
17397,east_village,2017-12-27,Individual,6282765.888173428,1840787.160320913
17398,east_village,2017-12-27,Individual,6282763.9878966035,1840788.4856509843
17399,east_village,2017-12-27,Individual,6282763.218375652,1840784.46736564
17400,east_village,2017-12-27,Individual,6282764.602547394,1840791.642508441
17401,east_village,2017-12-27,Individual,6282764.331990858,1840789.1156917564
17402,east_village,2017-12-27,Individual,6282765.386408906,1840792.6845269478
17403,east_village,2017-12-27,Individual,6282762.86119505,1840781.4650180906
17404,east_village,2017-12-27,Individual,6282743.197079431,1840721.6028861522
17405,east_village,2017-12-27,Individual,6282738.9462450845,1840725.057181618
17406,east_village,2017-12-27,Individual,6282746.609755771,1840721.1014411282
17407,east_village,2017-12-27,Individual,6282739.03811749,1840725.7025058377
17408,east_village,2017-12-27,Individual,6282738.946933048,1840718.7828236434
17409,east_village,2017-12-27,Individual,6282742.889850724,1840729.4880191535
17410,east_village,2017-12-27,Individual,6282744.097327598,1840722.001391765
17411,east_village,2017-12-27,Individual,6282740.317790512,1840727.751435887
17412,east_village,2017-12-27,Individual,6282740.251969571,1840729.0124654972
17413,east_village,2017-12-27,Structure,6282679.312225398,1840709.5735553687
17414,east_village,2017-12-27,Structure,6282677.559914217,1840711.8410319383
17415,east_village,2017-12-27,Structure,6282677.764300855,1840709.5196611737
17416,east_village,2017-12-27,Structure,6282676.154053911,1840715.078161334
17417,east_village,2017-12-27,Individual,6282991.738900548,1840932.7233090252
17418,east_village,2017-12-27,Individual,6282989.163967833,1840930.1795679326
17419,east_village,2017-12-27,Individual,6282984.605297956,1840933.5503553564
17420,east_village,2017-12-27,Individual,6283211.048694471,1840816.2345302182
17421,east_village,2017-12-27,Individual,6283485.292916423,1840831.6065564547
17422,east_village,2017-12-27,Individual,6283529.524836678,1840929.9704294242
17423,east_village,2017-12-27,Individual,6283533.139902807,1840934.3599223474
17424,east_village,2017-12-27,Individual,6283536.472575175,1840933.9298755361
17425,east_village,2017-12-27,Individual,6283864.810387841,1841141.0332678338
17426,east_village,2017-12-27,Individual,6283863.925035706,1841143.5242206978
17427,east_village,2017-12-27,Individual,6283862.487258933,1841138.677381867
17428,east_village,2017-12-27,Vehicle,6283942.331318196,1841215.3119515693
17429,east_village,2017-12-27,Individual,6284160.166420849,1841173.4747483658
17430,east_village,2017-12-27,Vehicle,6284089.160247993,1841043.1625977606
17431,east_village,2017-12-27,Individual,6283866.725507223,1840930.0756560205
17432,east_village,2017-12-27,Individual,6284090.501571853,1840913.982674564
17433,east_village,2017-12-27,Structure,6284029.035611925,1840831.2308039612
17434,east_village,2017-12-27,Structure,6284029.738198223,1840836.5413631233
17435,east_village,2017-12-27,Individual,6284041.878655289,1840709.930206576
17436,east_village,2017-12-27,Structure,6282341.848352651,1840521.2802808092
17437,east_village,2017-12-27,Individual,6282481.749180428,1840497.959434382
17438,east_village,2017-12-27,Individual,6282482.088432236,1840498.2202903065
17439,east_village,2017-12-27,Individual,6282478.756018479,1840496.0606857538
17440,east_village,2017-12-27,Individual,6282481.324025559,1840494.044309559
17441,east_village,2017-12-27,Individual,6282479.587066052,1840494.8288742763
17442,east_village,2017-12-27,Individual,6282351.299113881,1840379.6461281355
17443,east_village,2017-12-27,Individual,6282349.808381037,1840378.990590901
17444,east_village,2017-12-27,Individual,6282353.1264760075,1840375.1282048463
17445,east_village,2017-12-27,Structure,6282485.321441152,1840369.933608609
17446,east_village,2017-12-27,Individual,6282698.350491317,1840554.0029235887
17447,east_village,2017-12-27,Individual,6282733.079971856,1840432.4679132977
17448,east_village,2017-12-27,Individual,6282168.36743918,1840148.8135707672
17449,east_village,2017-12-27,Individual,6282176.480290383,1840150.0327451427
17450,east_village,2017-12-27,Individual,6282411.481900476,1839940.5670617602
17451,east_village,2017-12-27,Individual,6282409.558960692,1839945.942383609
17452,east_village,2017-12-27,Individual,6282678.04966238,1839968.4887189504
17453,east_village,2017-12-27,Individual,6282911.297217655,1840052.378372746
17454,east_village,2017-12-27,Individual,6282910.395023201,1840051.6984325394
17455,east_village,2017-12-27,Individual,6283249.966211215,1839947.1306589823
17456,east_village,2017-12-27,Individual,6283316.808282355,1840053.5027826414
17457,east_village,2017-12-27,Individual,6283307.877526052,1840344.0492293932
17458,east_village,2017-12-27,Individual,6283563.396446632,1840336.7802634719
17459,east_village,2017-12-27,Individual,6283560.668641936,1840335.6064326991
17460,east_village,2017-12-27,Individual,6283760.670313662,1840050.1768001043
17461,east_village,2017-12-27,Individual,6283760.712016775,1840050.1203822955
17462,east_village,2017-12-27,Individual,6283763.653597261,1840056.914975193
17463,east_village,2017-12-27,Individual,6283758.893530526,1840048.8815924558
17464,east_village,2017-12-27,Individual,6283809.4292198885,1839960.2517151858
17465,east_village,2017-12-27,Individual,6284057.105759841,1839968.580946714
17466,east_village,2017-12-27,Structure,6284426.09992389,1840556.5220783253
17467,east_village,2017-12-27,Structure,6284425.280924176,1840554.6229072146
17468,east_village,2017-12-27,Structure,6284429.06387615,1840326.342872938
17469,east_village,2017-12-27,Structure,6284430.7973768255,1840319.6032422115
17470,east_village,2017-12-27,Structure,6284432.785204542,1840331.394670629
17471,east_village,2017-12-27,Individual,6284580.636955734,1840331.7651335625
17472,east_village,2017-12-27,Individual,6284585.375147074,1840330.4436586162
17473,east_village,2017-12-27,Individual,6284584.849711486,1840327.707104785
17474,east_village,2017-12-27,Individual,6284573.917020052,1840336.0466164844
17475,east_village,2017-12-27,Individual,6284585.0770274475,1840330.3084933555
17476,east_village,2017-12-27,Individual,6284581.406228014,1840334.1379786131
17477,east_village,2017-12-27,Individual,6284587.13763486,1840332.5891293236
17478,east_village,2017-12-27,Individual,6284620.606298896,1840504.3881300078
17479,east_village,2017-12-27,Individual,6284628.997490982,1840501.9496544716
